product_id,category,name,price,stock,order_date,expiration_date
P040,음료,삼다수 500ml,4500,28,2026-06-01,2026-06-08
P041,유제품,바나나맛우유,2500,21,2026-06-01,2026-06-08
P042,유제품,초코우유,1700,23,2026-06-01,2026-06-08
P043,유제품,딸기우유,2500,29,2026-06-01,2026-06-08
P044,유제품,커피우유,3000,23,2026-06-01,2026-06-08
P045,유제품,서울우유 200ml,1500,28,2026-06-01,2026-06-08
P046,유제품,덴마크 드링킹,1200,28,2026-06-01,2026-06-08
P047,유제품,비요뜨,3000,20,2026-06-01,2026-06-08
P048,유제품,요플레,1500,25,2026-06-01,2026-06-08
P049,유제품,스트링치즈,4500,25,2026-06-01,2026-06-08
P050,유제품,슬라이스치즈,5000,29,2026-06-01,2026-06-08
P051,과자/스낵,포카칩,1200,27,2026-06-01,2026-06-08
P052,과자/스낵,스윙칩,1700,24,2026-06-01,2026-06-08
P053,과자/스낵,새우깡,5000,22,2026-06-01,2026-06-08
P054,과자/스낵,홈런볼,1700,20,2026-06-01,2026-06-08
P055,과자/스낵,꼬북칩,1000,27,2026-06-01,2026-06-08
P056,과자/스낵,프링글스,1200,26,2026-06-01,2026-06-08
P057,과자/스낵,맛동산,3000,23,2026-06-01,2026-06-08
P058,과자/스낵,오징어땅콩,5000,27,2026-06-01,2026-06-08
P059,과자/스낵,빼빼로,1200,20,2026-06-01,2026-06-08
P060,과자/스낵,초코파이,4500,22,2026-06-01,2026-06-08
P061,라면/면류,신라면,1700,28,2026-06-01,2026-06-08
P062,라면/면류,진라면 매운맛,2500,20,2026-06-01,2026-06-08
P063,라면/면류,불닭볶음면,1500,20,2026-06-01,2026-06-08
P064,라면/면류,육개장 사발면,1700,20,2026-06-01,2026-06-08
P065,라면/면류,왕뚜껑,2500,22,2026-06-01,2026-06-08
P066,라면/면류,참깨라면,1700,21,2026-06-01,2026-06-08
P067,라면/면류,짜파게티,4500,22,2026-06-01,2026-06-08
P068,라면/면류,너구리,1700,30,2026-06-01,2026-06-08
P069,라면/면류,튀김우동,3000,20,2026-06-01,2026-06-08
P070,라면/면류,스파게티 컵라면,1700,25,2026-06-01,2026-06-08
P071,아이스크림,메로나,3000,26,2026-06-01,2026-06-08
P072,아이스크림,스크류바,1500,23,2026-06-01,2026-06-08
P073,아이스크림,죠스바,1000,27,2026-06-01,2026-06-08
P074,아이스크림,수박바,2500,27,2026-06-01,2026-06-08
P075,아이스크림,돼지바,2000,21,2026-06-01,2026-06-08
P076,아이스크림,구구콘,1200,25,2026-06-01,2026-06-08
P077,아이스크림,월드콘,1700,25,2026-06-01,2026-06-08
P078,아이스크림,부라보콘,1700,23,2026-06-01,2026-06-08
P079,아이스크림,투게더,5000,30,2026-06-01,2026-06-08
P080,아이스크림,하겐다즈,4500,28,2026-06-01,2026-06-08
P081,냉장/냉동식품,비비고 냉동만두,1000,30,2026-06-01,2026-06-08
P082,냉장/냉동식품,고메 핫도그,1000,28,2026-06-01,2026-06-08
P083,냉장/냉동식품,냉동 콤비네이션피자,2000,23,2026-06-01,2026-06-08
P084,냉장/냉동식품,매콤 닭강정,1000,22,2026-06-01,2026-06-08
P085,냉장/냉동식품,미니 족발,1700,26,2026-06-01,2026-06-08
P086,냉장/냉동식품,쫄깃 편육,2500,24,2026-06-01,2026-06-08
P087,냉장/냉동식품,의성마늘 소시지,3000,30,2026-06-01,2026-06-08
P088,냉장/냉동식품,맥스봉,2000,22,2026-06-01,2026-06-08
P089,냉장/냉동식품,크래미,1700,24,2026-06-01,2026-06-08
P090,냉장/냉동식품,아이스 군고구마,5000,24,2026-06-01,2026-06-08
P091,일상용품,물티슈 100매,1000,22,2026-06-01,2026-06-08
P092,일상용품,두루마리휴지 1롤,1000,28,2026-06-01,2026-06-08
P093,일상용품,건전지 AA 2입,1000,22,2026-06-01,2026-06-08
P094,일상용품,건전지 AAA 2입,3000,27,2026-06-01,2026-06-08
P095,일상용품,KF94 마스크,2500,29,2026-06-01,2026-06-08
P096,일상용품,생리대 중형,2000,30,2026-06-01,2026-06-08
P097,일상용품,여행용 샴푸,5000,28,2026-06-01,2026-06-08
P098,일상용품,여행용 린스,4500,24,2026-06-01,2026-06-08
P099,일상용품,오랄비 칫솔,5000,25,2026-06-01,2026-06-08
P100,일상용품,페리오 치약,2000,25,2026-06-01,2026-06-08
